,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
3,Lasse Sobiech,Greuther Fuerth,22,D(C),24,17,1625,2,0,2,6.72,2012-13,GER Bundesliga
4,Anatoliy Tymoshchuk,Bayern,34,DMC,16,5,598,1,0,0,6.72,2012-13,GER Bundesliga
5,Zoltán Stieber,Greuther Fuerth,25,AM(CLR),16,14,1186,3,1,0,6.71,2012-13,GER Bundesliga
6,Marvin Compper,Hoffenheim,28,D(C),16,16,1401,0,0,1,6.71,2012-13,GER Bundesliga
7,Bas Dost,Wolfsburg,24,FW,28,20,2004,8,1,0,6.71,2012-13,GER Bundesliga
8,Anton Putilo,Freiburg,26,M(CLR),2,1,126,0,0,0,6.71,2012-13,GER Bundesliga
9,Alexander Esswein,Nuernberg,23,"AM(CLR),FW",27,19,1687,2,1,1,6.71,2012-13,GER Bundesliga
0,André Hoffmann,Hannover,20,"D(C),DMC",16,14,1222,2,0,0,6.71,2012-13,GER Bundesliga
1,Markus Feulner,Nuernberg,31,"D(LR),M(CR)",23,17,1534,4,2,4,6.70,2012-13,GER Bundesliga
2,Makoto Hasebe,Wolfsburg,29,"D(CR),M(CR)",23,20,1738,2,2,1,6.70,2012-13,GER Bundesliga
3,Mario Eggimann,Hannover,32,D(C),22,21,1806,1,1,1,6.70,2012-13,GER Bundesliga
4,Constant Djakpa,Eintracht Frankfurt,27,D(L),5,1,187,0,0,0,6.70,2012-13,GER Bundesliga
5,Markus Mendler,Nuernberg,21,M(CLR),3,2,155,0,0,0,6.70,2012-13,GER Bundesliga
6,Lukas Schmitz,Werder Bremen,25,"D(L),M(CL)",23,20,1767,0,1,0,6.70,2012-13,GER Bundesliga
7,Sven Ulreich,Stuttgart,25,GK,34,34,3060,0,0,1,6.69,2012-13,GER Bundesliga
8,Matthias Zimmermann,Greuther Fuerth,21,"D(R),DMC,M(R)",15,13,1232,1,1,0,6.69,2012-13,GER Bundesliga
9,Joselu,Hoffenheim,23,FW,25,17,1613,5,2,2,6.69,2012-13,GER Bundesliga
0,Marco Caligiuri,Mainz,29,"D(CR),M(CL)",22,13,1204,1,0,0,6.69,2012-13,GER Bundesliga
1,Sebastian Prödl,Werder Bremen,26,D(C),28,23,1946,1,0,0,6.68,2012-13,GER Bundesliga
2,Bernd Nehrig,Greuther Fuerth,27,"D(R),DMC",26,24,2025,1,0,0,6.68,2012-13,GER Bundesliga
3,Manuel Schmiedebach,Hannover,25,M(C),21,14,1424,0,1,0,6.68,2012-13,GER Bundesliga
4,Jeffrey Bruma,Hamburg,22,D(C),18,10,1026,1,1,0,6.68,2012-13,GER Bundesliga
5,Josué,Wolfsburg,34,M(C),16,13,1092,0,1,0,6.67,2012-13,GER Bundesliga
6,Karim Haggui,Hannover,29,D(C),22,16,1602,1,0,0,6.67,2012-13,GER Bundesliga
7,Christian Träsch,Wolfsburg,26,"D(R),M(C)",17,11,965,0,1,0,6.66,2012-13,GER Bundesliga
8,Slobodan Medojevic,Wolfsburg,23,DMC,8,6,561,0,1,0,6.65,2012-13,GER Bundesliga
9,Stefan Bell,Mainz,22,D(CR),8,5,473,0,0,0,6.64,2012-13,GER Bundesliga
0,Danny Williams,Hoffenheim,24,M(C),21,17,1549,1,0,0,6.64,2012-13,GER Bundesliga
1,Mathis Bolly,Fortuna Duesseldorf,23,"AM(R),FW",7,5,385,2,0,0,6.63,2012-13,GER Bundesliga
2,Tim Hoogland,Stuttgart,28,"D(CR),M(C)",4,3,214,0,0,0,6.63,2012-13,GER Bundesliga
3,Ciprian Marica,Schalke,28,FW,13,8,719,3,1,0,6.63,2012-13,GER Bundesliga
4,Heiko Butscher,Eintracht Frankfurt,33,"D(C),DMC",3,2,199,0,0,0,6.63,2012-13,GER Bundesliga
5,Róbert Mak,Nuernberg,22,"M(LR),FW",19,9,890,1,2,1,6.63,2012-13,GER Bundesliga
6,Johannes Flum,Freiburg,26,"D(C),M(C)",26,10,1177,1,0,1,6.63,2012-13,GER Bundesliga
7,Lars Unnerstall,Schalke,23,GK,13,13,1170,0,0,0,6.62,2012-13,GER Bundesliga
8,Dani Schahin,Fortuna Duesseldorf,24,FW,31,16,1783,8,0,2,6.62,2012-13,GER Bundesliga
9,Christian Weber,Fortuna Duesseldorf,30,D(CLR),1,1,90,0,0,0,6.62,2012-13,GER Bundesliga
0,Daniel Schwaab,Leverkusen,25,"D(CR),DMC",16,8,810,0,1,0,6.62,2012-13,GER Bundesliga
1,Stefan Thesker,Hoffenheim,22,"D(CL),DMC",4,3,269,0,0,0,6.62,2012-13,GER Bundesliga
2,Marvin Plattenhardt,Nuernberg,21,"D(L),M(L)",14,8,822,1,0,0,6.61,2012-13,GER Bundesliga
3,Alexander Madlung,Wolfsburg,31,D(C),15,6,633,2,0,0,6.61,2012-13,GER Bundesliga
4,Assani Lukimya,Werder Bremen,27,D(C),22,17,1593,1,0,0,6.61,2012-13,GER Bundesliga
5,Marc Stendera,Eintracht Frankfurt,18,M(C),5,2,220,0,1,0,6.61,2012-13,GER Bundesliga
6,Yunus Malli,Mainz,21,"M(CLR),FW",14,7,667,1,0,0,6.60,2012-13,GER Bundesliga
7,Benedikt Saller,Mainz,21,"D(R),M(C)",1,0,18,0,0,0,6.60,2012-13,GER Bundesliga
8,Dominik Reinhardt,Augsburg,29,D(R),4,2,244,0,0,0,6.60,2012-13,GER Bundesliga
9,Max Grün,Greuther Fuerth,26,GK,17,17,1530,0,0,0,6.60,2012-13,GER Bundesliga
0,Felix Klaus,Greuther Fuerth,21,AM(CLR),24,19,1674,2,1,0,6.59,2012-13,GER Bundesliga
1,Cacau,Stuttgart,32,FW,5,3,330,1,0,0,6.59,2012-13,GER Bundesliga
2,Marc Oliver Kempf,Eintracht Frankfurt,18,D(C),2,2,180,0,0,0,6.59,2012-13,GER Bundesliga
3,Jan Schlaudraff,Hannover,30,"M(CR),FW",30,22,1860,2,4,0,6.58,2012-13,GER Bundesliga
4,Tomas Pekhart,Nuernberg,24,FW,31,23,2025,4,2,1,6.58,2012-13,GER Bundesliga
5,Felix Kroos,Werder Bremen,22,M(C),5,5,362,0,0,0,6.58,2012-13,GER Bundesliga
6,Thanos Petsos,Greuther Fuerth,22,M(C),14,9,860,1,0,0,6.58,2012-13,GER Bundesliga
7,Sébastien Pocognoli,Hannover,26,D(L),11,10,762,0,1,0,6.58,2012-13,GER Bundesliga
8,Ivo Ilicevic,Hamburg,27,M(CLR),8,4,338,1,0,0,6.58,2012-13,GER Bundesliga
9,Milorad Pekovic,Greuther Fuerth,36,DMC,18,14,1203,0,0,0,6.57,2012-13,GER Bundesliga
0,Amin Younes,Borussia M.Gladbach,20,AM(CL),11,6,530,1,0,0,6.57,2012-13,GER Bundesliga
1,Mike Hanke,Borussia M.Gladbach,30,FW,32,13,1357,4,2,1,6.57,2012-13,GER Bundesliga
2,Jens Hegeler,Leverkusen,25,"D(C),M(CR)",27,5,827,3,0,1,6.57,2012-13,GER Bundesliga
3,Vegar Eggen Hedenstad,Freiburg,22,D(LR),16,9,803,0,1,0,6.57,2012-13,GER Bundesliga
4,Marcel Schäfer,Wolfsburg,29,"D(L),M(L)",31,22,2013,0,2,0,6.56,2012-13,GER Bundesliga
5,Immanuel Höhn,Freiburg,22,D(CR),8,5,562,0,0,0,6.55,2012-13,GER Bundesliga
6,Artur Sobiech,Hannover,23,FW,25,9,938,5,2,1,6.54,2012-13,GER Bundesliga
7,Patrick Ochs,Hoffenheim,29,D(R),12,8,763,0,0,1,6.54,2012-13,GER Bundesliga
8,Antonio Rüdiger,Stuttgart,20,D(CR),16,11,1008,0,0,0,6.54,2012-13,GER Bundesliga
9,Olivier Occean,Eintracht Frankfurt,32,FW,18,10,1002,1,1,0,6.54,2012-13,GER Bundesliga
0,Srdjan Lakic,Eintracht Frankfurt,30,FW,14,9,759,4,0,0,6.54,2012-13,GER Bundesliga
1,Ivan Perisic,Borussia Dortmund,24,"M(CLR),FW",14,5,519,2,0,1,6.53,2012-13,GER Bundesliga
2,Martin Lanig,Eintracht Frankfurt,29,M(C),19,4,380,3,1,0,6.53,2012-13,GER Bundesliga
3,Hajime Hosogai,Leverkusen,27,"D(LR),M(C)",17,9,897,0,0,0,6.53,2012-13,GER Bundesliga
4,Mike Frantz,Nuernberg,27,"M(CLR),FW",27,19,1579,1,0,0,6.53,2012-13,GER Bundesliga
5,Almog Cohen,Nuernberg,25,M(C),9,3,391,0,1,0,6.52,2012-13,GER Bundesliga
6,Raphael Holzhauser,Stuttgart,20,"M(CLR),FW",21,14,1165,0,2,0,6.52,2012-13,GER Bundesliga
7,Lukas Rupp,Borussia M.Gladbach,23,M(CR),21,13,1099,0,1,0,6.52,2012-13,GER Bundesliga
8,Vadim Demidov,Eintracht Frankfurt,27,D(C),5,4,368,0,0,0,6.52,2012-13,GER Bundesliga
9,Koen Casteels,Hoffenheim,21,GK,16,15,1387,0,0,1,6.51,2012-13,GER Bundesliga
0,Oliver Kirch,Borussia Dortmund,31,"D(R),M(C)",4,2,187,0,0,0,6.51,2012-13,GER Bundesliga
1,Pelle Jensen,Hoffenheim,21,D(CLR),2,2,167,0,0,0,6.51,2012-13,GER Bundesliga
2,Sven Schipplock,Hoffenheim,25,FW,16,7,580,5,1,0,6.51,2012-13,GER Bundesliga
3,Sofian Chahed,Hannover,30,D(R),13,9,905,0,2,0,6.51,2012-13,GER Bundesliga
4,Roman Weidenfeller,Borussia Dortmund,33,GK,31,31,2780,0,0,0,6.50,2012-13,GER Bundesliga
5,Juanan,Fortuna Duesseldorf,26,D(C),15,13,1182,0,0,0,6.50,2012-13,GER Bundesliga
6,Kevin Vogt,Augsburg,22,"D(CR),M(C)",28,20,1862,1,1,0,6.50,2012-13,GER Bundesliga
7,Tomás Rincón,Hamburg,25,M(CR),20,9,954,0,0,0,6.50,2012-13,GER Bundesliga
8,Julian Schieber,Borussia Dortmund,24,FW,23,6,817,3,0,0,6.49,2012-13,GER Bundesliga
9,Berkay Dabanli,Nuernberg,23,D(C),8,2,264,0,0,0,6.49,2012-13,GER Bundesliga
0,Moritz Leitner,Borussia Dortmund,21,M(CR),25,8,1005,0,2,0,6.48,2012-13,GER Bundesliga
1,Niklas Stark,Nuernberg,18,"D(C),DMC",3,2,212,0,0,0,6.48,2012-13,GER Bundesliga
2,Knowledge Musona,Augsburg,23,AM(CR),14,8,789,0,1,0,6.48,2012-13,GER Bundesliga
3,Zdravko Kuzmanovic,Stuttgart,26,M(C),12,7,742,0,0,0,6.48,2012-13,GER Bundesliga
4,Thomas Kleine,Greuther Fuerth,36,D(C),22,19,1696,0,0,0,6.48,2012-13,GER Bundesliga
5,Stefano Celozzi,Eintracht Frankfurt,25,"D(R),DMC,M(R)",27,6,1033,0,3,1,6.48,2012-13,GER Bundesliga
6,Mohamed Amsif,Augsburg,24,GK,17,17,1530,0,0,0,6.48,2012-13,GER Bundesliga
7,Felipe,Hannover,26,D(C),4,3,239,1,0,0,6.48,2012-13,GER Bundesliga
8,Robin Szarka,Hoffenheim,22,D(CLR),1,0,46,0,0,0,6.47,2012-13,GER Bundesliga
9,Maximilian Beister,Hamburg,23,"AM(LR),FW",23,8,964,3,1,1,6.47,2012-13,GER Bundesliga
0,Marco Terrazzino,Freiburg,22,"AM(CL),FW",6,1,163,1,1,0,6.47,2012-13,GER Bundesliga
1,Igor de Camargo,Borussia M.Gladbach,30,FW,14,7,628,2,0,1,6.46,2012-13,GER Bundesliga
2,Stefan Reisinger,Fortuna Duesseldorf,32,"AM(R),FW",24,15,1413,7,0,0,6.46,2012-13,GER Bundesliga
3,Thomas Kahlenberg,Wolfsburg,30,M(C),13,6,541,0,0,0,6.46,2012-13,GER Bundesliga
4,Petr Jirácek,Hamburg,27,M(CL),13,10,848,1,1,0,6.46,2012-13,GER Bundesliga
5,Manuel Friedrich,Leverkusen,34,D(C),11,5,466,0,0,0,6.46,2012-13,GER Bundesliga
6,Hiroki Sakai,Hannover,23,"D(CLR),M(R)",13,8,721,0,0,0,6.46,2012-13,GER Bundesliga
7,Mohammed Abdellaoue,Hannover,28,FW,26,12,1063,8,1,0,6.46,2012-13,GER Bundesliga
8,Ivan Santini,Freiburg,24,FW,14,1,327,1,2,0,6.46,2012-13,GER Bundesliga
