,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
4,Johan Djourou,Switzerland,31,D(C),1,1,90,0,0,0,6.71,2017-18,FIFA World Cup
5,Maciej Rybus,Poland,29,"D(LR),M(LR)",2,2,180,0,0,0,6.71,2017-18,FIFA World Cup
6,Mathew Leckie,Australia,27,M(CLR),3,3,270,0,0,0,6.71,2017-18,FIFA World Cup
7,Mateo Kovacic,Croatia,24,M(CL),5,1,183,0,1,0,6.71,2017-18,FIFA World Cup
8,Vincent Kompany,Belgium,32,D(C),5,4,376,0,0,0,6.71,2017-18,FIFA World Cup
9,Javier Mascherano,Argentina,34,"D(C),M(C)",4,4,360,0,0,0,6.71,2017-18,FIFA World Cup
0,Miguel Layún,Mexico,30,"D(LR),M(CLR)",4,3,314,0,0,0,6.71,2017-18,FIFA World Cup
1,Sergio Agüero,Argentina,30,"AM(CL),FW",4,2,178,2,0,0,6.71,2017-18,FIFA World Cup
2,Carlos Salcedo,Mexico,25,D(CR),4,4,360,0,0,0,6.70,2017-18,FIFA World Cup
3,Shinji Kagawa,Japan,29,M(CL),3,3,232,1,1,0,6.70,2017-18,FIFA World Cup
4,Luis Muriel,Colombia,27,"AM(CL),FW",2,0,92,0,0,0,6.70,2017-18,FIFA World Cup
5,Thiago,Spain,27,M(C),2,1,94,0,0,0,6.70,2017-18,FIFA World Cup
6,Vahid Amiri,Iran,30,AM(C),3,3,266,0,0,0,6.69,2017-18,FIFA World Cup
7,Tomoaki Makino,Japan,31,D(CLR),1,1,90,0,0,0,6.69,2017-18,FIFA World Cup
8,Hussain Al Moqahwi,Saudi Arabia,30,M(CLR),2,1,136,0,0,0,6.69,2017-18,FIFA World Cup
9,Johan Mojica,Colombia,26,"D(L),M(L)",4,4,391,0,0,0,6.69,2017-18,FIFA World Cup
0,Andreas Christensen,Denmark,22,"D(C),DMC",4,4,307,0,0,0,6.68,2017-18,FIFA World Cup
1,Dele Alli,England,22,"M(CL),FW",5,4,364,1,0,0,6.68,2017-18,FIFA World Cup
2,Ivan Strinic,Croatia,31,D(L),6,6,511,0,0,1,6.68,2017-18,FIFA World Cup
3,Lasse Schöne,Denmark,32,M(CLR),3,1,219,0,0,0,6.68,2017-18,FIFA World Cup
4,Mateus Uribe,Colombia,27,DMC,3,1,183,0,0,0,6.67,2017-18,FIFA World Cup
5,Antonio Rüdiger,Germany,25,D(CR),1,1,90,0,0,0,6.67,2017-18,FIFA World Cup
6,Jóhann Gudmundsson,Iceland,28,AM(CLR),2,2,153,0,0,0,6.67,2017-18,FIFA World Cup
7,William Carvalho,Portugal,26,DMC,4,4,360,0,0,0,6.67,2017-18,FIFA World Cup
8,Cédric Soares,Portugal,27,"D(LR),M(R)",3,3,270,0,0,0,6.66,2017-18,FIFA World Cup
9,Trent Alexander-Arnold,England,20,"D(R),M(R)",1,1,79,0,0,0,6.66,2017-18,FIFA World Cup
0,Jordi Alba,Spain,29,"D(L),M(L)",4,4,391,0,0,0,6.66,2017-18,FIFA World Cup
1,Ángel Di María,Argentina,30,"M(CLR),FW",3,3,237,1,0,0,6.66,2017-18,FIFA World Cup
2,Igor Akinfeev,Russia,32,GK,5,5,511,0,0,1,6.66,2017-18,FIFA World Cup
3,Koke,Spain,27,M(CLR),3,2,230,0,0,0,6.65,2017-18,FIFA World Cup
4,Breel Embolo,Switzerland,21,"AM(CR),FW",4,1,134,0,1,0,6.65,2017-18,FIFA World Cup
5,Thomas Lemar,France,23,AM(CLR),1,1,90,0,0,0,6.65,2017-18,FIFA World Cup
6,Andreas Cornelius,Denmark,25,FW,3,2,163,0,0,0,6.64,2017-18,FIFA World Cup
7,Christian Ramos,Peru,30,D(C),3,3,270,0,0,0,6.64,2017-18,FIFA World Cup
8,João Mário,Portugal,25,M(CLR),4,3,261,0,0,0,6.64,2017-18,FIFA World Cup
9,Medhi Benatia,Morocco,31,D(C),2,2,180,0,0,0,6.64,2017-18,FIFA World Cup
0,Mehdi Taremi,Iran,26,"AM(L),FW",3,2,202,0,0,0,6.64,2017-18,FIFA World Cup
1,Michy Batshuayi,Belgium,25,FW,3,1,113,1,0,0,6.64,2017-18,FIFA World Cup
2,Yannick Carrasco,Belgium,25,"M(CLR),FW",4,3,239,0,0,0,6.64,2017-18,FIFA World Cup
3,Blerim Dzemaili,Switzerland,32,M(C),4,4,326,1,0,0,6.64,2017-18,FIFA World Cup
4,Younès Belhanda,Morocco,28,"M(CL),FW",3,3,228,0,0,0,6.64,2017-18,FIFA World Cup
5,Andrés Guardado,Mexico,32,"D(L),M(CL)",4,4,307,0,0,0,6.64,2017-18,FIFA World Cup
6,Jung Woo-Young,South Korea,29,"D(C),DMC",3,1,127,0,0,0,6.63,2017-18,FIFA World Cup
7,Jordan Henderson,England,28,"D(C),M(CLR)",5,5,483,0,0,0,6.63,2017-18,FIFA World Cup
8,Mario Gavranovic,Switzerland,29,FW,2,1,114,0,1,0,6.63,2017-18,FIFA World Cup
9,Mouez Hassen,Tunisia,23,GK,1,1,15,0,0,0,6.63,2017-18,FIFA World Cup
0,Victor Lindelöf,Sweden,24,D(CR),4,4,360,0,0,0,6.62,2017-18,FIFA World Cup
1,Nahitan Nández,Uruguay,23,M(CLR),5,4,293,0,0,0,6.62,2017-18,FIFA World Cup
2,Leon Goretzka,Germany,23,M(CR),1,1,63,0,0,0,6.62,2017-18,FIFA World Cup
3,Óscar Duarte,Costa Rica,29,"D(C),DMC",2,2,180,0,0,0,6.62,2017-18,FIFA World Cup
4,Martín Cáceres,Uruguay,31,"D(CLR),M(R)",5,5,450,0,0,0,6.62,2017-18,FIFA World Cup
5,Renato Tapia,Peru,23,"D(C),DMC",2,2,150,0,0,0,6.62,2017-18,FIFA World Cup
6,Aleksandr Samedov,Russia,34,AM(CR),5,5,359,0,0,0,6.61,2017-18,FIFA World Cup
7,Valon Behrami,Switzerland,33,M(C),4,4,311,0,0,0,6.61,2017-18,FIFA World Cup
8,Tomas Rogic,Australia,26,AM(C),3,3,226,0,0,0,6.61,2017-18,FIFA World Cup
9,Yuto Nagatomo,Japan,32,"D(LR),M(LR)",4,4,360,0,1,0,6.61,2017-18,FIFA World Cup
0,Abdalla El Said,Egypt,33,AM(C),3,3,232,0,1,0,6.60,2017-18,FIFA World Cup
1,Hugo Lloris,France,32,GK,6,6,540,0,0,0,6.60,2017-18,FIFA World Cup
2,Sergej Milinkovic-Savic,Serbia,23,AM(C),3,3,270,0,0,0,6.60,2017-18,FIFA World Cup
3,Alireza Jahanbakhsh,Iran,25,AM(CLR),3,2,171,0,0,0,6.60,2017-18,FIFA World Cup
4,Giancarlo González,Costa Rica,30,D(C),3,3,270,0,0,0,6.60,2017-18,FIFA World Cup
5,Adolfo Machado,Panama,33,D(CR),1,1,90,0,0,0,6.59,2017-18,FIFA World Cup
6,Zanka,Denmark,28,D(C),3,2,219,1,0,0,6.59,2017-18,FIFA World Cup
