,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
2,Alex,PSG,31,D(C),24,22,2058,2,0,1,7.21,2012-13,FRA Ligue 1
3,Lucas Moura,PSG,21,"AM(CLR),FW",10,9,741,0,3,0,7.21,2012-13,FRA Ligue 1
4,Rudy Mater,Valenciennes,33,D(R),24,23,1927,1,0,2,7.20,2012-13,FRA Ligue 1
5,Maxwell,PSG,32,D(L),33,33,2935,2,3,1,7.20,2012-13,FRA Ligue 1
6,Yohan Mollo,Saint-Etienne,24,"M(CLR),FW",19,15,1080,4,7,1,7.20,2012-13,FRA Ligue 1
7,Pierrick Cros,Sochaux,22,GK,3,3,270,0,0,1,7.19,2012-13,FRA Ligue 1
8,Jonathan Brison,Saint-Etienne,30,D(LR),24,23,1940,0,4,2,7.19,2012-13,FRA Ligue 1
9,Abdoulaye Doucouré,Rennes,21,M(C),4,4,319,1,0,1,7.18,2012-13,FRA Ligue 1
0,Hugo Lloris,Lyon,27,GK,2,2,180,0,0,0,7.18,2012-13,FRA Ligue 1
1,Thomas Mangani,Nancy,26,M(C),34,26,2559,0,5,0,7.18,2012-13,FRA Ligue 1
2,Lucas Mareque,Lorient,31,D(L),10,9,772,1,2,1,7.17,2012-13,FRA Ligue 1
3,Salif Sané,Nancy,23,"D(C),DMC",34,34,3060,3,1,4,7.17,2012-13,FRA Ligue 1
4,Mickaël Landreau,SC Bastia,34,GK,19,19,1673,0,0,1,7.17,2012-13,FRA Ligue 1
5,Ronald Zubar,AC Ajaccio,28,D(C),15,15,1350,1,0,1,7.16,2012-13,FRA Ligue 1
6,Mamadou Sakho,PSG,23,D(C),27,24,2140,2,0,0,7.15,2012-13,FRA Ligue 1
7,Mathieu Valbuena,Marseille,29,M(CLR),37,37,3153,3,12,2,7.15,2012-13,FRA Ligue 1
8,Christophe Jallet,PSG,30,"D(LR),M(L)",27,20,1882,0,3,2,7.15,2012-13,FRA Ligue 1
9,Ronny Rodelin,Lille,24,"AM(CLR),FW",23,20,1571,3,4,2,7.14,2012-13,FRA Ligue 1
0,Jérémy Morel,Marseille,29,D(CL),36,36,3205,1,1,1,7.14,2012-13,FRA Ligue 1
1,Francois Clerc,Saint-Etienne,30,D(R),31,31,2790,1,3,1,7.14,2012-13,FRA Ligue 1
2,Henrique,Bordeaux,30,D(C),24,22,1998,1,0,2,7.14,2012-13,FRA Ligue 1
3,Salomon Kalou,Lille,28,"AM(CLR),FW",28,25,2209,14,3,2,7.14,2012-13,FRA Ligue 1
4,Jérémie Aliadière,Lorient,30,FW,31,31,2653,15,8,3,7.13,2012-13,FRA Ligue 1
5,Lindsay Rose,Valenciennes,21,D(C),14,12,1128,1,0,1,7.13,2012-13,FRA Ligue 1
6,Simon Pouplin,Sochaux,28,GK,34,34,3060,0,0,2,7.13,2012-13,FRA Ligue 1
7,Abdelhamid El Kaoutari,Montpellier,23,D(CL),23,23,2035,0,2,1,7.13,2012-13,FRA Ligue 1
8,Pierre-Emerick Aubameyang,Saint-Etienne,24,"M(CLR),FW",37,36,3214,19,9,5,7.12,2012-13,FRA Ligue 1
9,Mathieu Debuchy,Lille,28,"D(CR),M(R)",15,15,1326,0,1,0,7.11,2012-13,FRA Ligue 1
0,Mariano,Bordeaux,27,"D(R),M(R)",32,32,2748,1,2,2,7.11,2012-13,FRA Ligue 1
1,Nemanja Pejcinovic,Nice,26,D(CR),28,27,2457,3,1,1,7.10,2012-13,FRA Ligue 1
2,Timothée Kolodziejczak,Nice,22,"D(CL),M(L)",36,36,3240,0,4,2,7.10,2012-13,FRA Ligue 1
3,Samuel Umtiti,Lyon,20,D(CL),26,25,2259,1,0,3,7.10,2012-13,FRA Ligue 1
