Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
2011,Mario Götze,Attacking Midfield,18,Germany,Bor. Dortmund,Germany Bundesliga,41,8,16,24
2011,Arturo Vidal,Central Midfield,23,Chile,B. Leverkusen,Germany Bundesliga,44,13,10,23
2011,Marek Hamsik,Central Midfield,22,Slovakia,Napoli,Italy Serie A,49,13,9,22
2011,Josip Ilicic,Attacking Midfield,22,Slovenia,Multiple clubs,N/A,45,11,11,22
2011,Marvin Martin,Attacking Midfield,22,France,FC Sochaux,France Ligue 1,41,4,18,22
2011,Charlie Adam,Central Midfield,24,Scotland,Blackpool,England Premier League,36,13,8,21
2011,Marco Reus,Attacking Midfield,21,Germany,Bor. M'gladbach,Germany Bundesliga,35,11,10,21
2011,Santi Cazorla,Central Midfield,25,Spain,Villarreal,Spain LaLiga,55,8,13,21
2011,Nuri Şahin,Defensive Midfield,21,Türkiye,Bor. Dortmund,Germany Bundesliga,40,8,13,21
2011,Xabi Prieto,Attacking Midfield,26,Spain,Real Sociedad,Spain LaLiga,39,7,14,21
2011,David Silva,Attacking Midfield,24,Spain,Man City,England Premier League,53,6,15,21
2011,Morgan Amalfitano,Right Midfield,25,France,FC Lorient,France Ligue 1,42,5,16,21
2011,Christian Tiffert,Central Midfield,28,Germany,1.FC K'lautern,Germany Bundesliga,37,2,19,21
2011,Javier Pastore,Attacking Midfield,21,Argentina,US Palermo,Italy Serie A,45,13,7,20
2011,Xavi,Central Midfield,30,Spain,Barcelona,Spain LaLiga,50,5,15,20
2011,Samir Nasri,Attacking Midfield,23,France,Arsenal,England Premier League,46,15,4,19
2011,Dimitri Payet,Attacking Midfield,23,France,Saint-Étienne,France Ligue 1,34,13,6,19
2011,Frank Lampard,Central Midfield,32,England,Chelsea,England Premier League,32,13,6,19
2011,Renato Augusto,Central Midfield,22,Brazil,B. Leverkusen,Germany Bundesliga,35,8,11,19
2011,Lionel Messi,Right Winger,23,Argentina,Barcelona,Spain LaLiga,55,53,27,80
2011,Cristiano Ronaldo,Centre-Forward,25,Portugal,Real Madrid,Spain LaLiga,54,53,18,71
2011,Samuel Eto'o,Centre-Forward,29,Cameroon,Inter,Italy Serie A,51,36,14,50
2011,Mario Gómez,Centre-Forward,24,Germany,Bayern Munich,Germany Bundesliga,45,39,7,46
2011,Giuseppe Rossi,Centre-Forward,23,Italy,Villarreal,Spain LaLiga,56,32,11,43
2011,Edinson Cavani,Centre-Forward,23,Uruguay,Napoli,Italy Serie A,47,33,7,40
2011,Álvaro Negredo,Centre-Forward,24,Spain,Sevilla FC,Spain LaLiga,55,26,12,38
2011,Thomas Müller,Second Striker,20,Germany,Bayern Munich,Germany Bundesliga,48,19,19,38
2011,David Villa,Centre-Forward,28,Spain,Barcelona,Spain LaLiga,52,23,12,35
2011,Pedro,Right Winger,22,Spain,Barcelona,Spain LaLiga,53,22,13,35
2011,Zlatan Ibrahimović,Centre-Forward,28,Sweden,Multiple clubs,N/A,42,22,13,35
2011,Ángel Di María,Right Winger,22,Argentina,Real Madrid,Spain LaLiga,53,9,26,35
2011,Antonio Di Natale,Centre-Forward,32,Italy,Udinese,Italy Serie A,37,28,6,34
2011,Sergio Agüero,Centre-Forward,22,Argentina,Atlético Madrid,Spain LaLiga,41,27,7,34
2011,Karim Benzema,Centre-Forward,22,France,Real Madrid,Spain LaLiga,48,26,7,33
2011,Carlos Tevez,Centre-Forward,26,Argentina,Man City,England Premier League,44,23,10,33
2011,Franck Ribéry,Left Winger,27,France,Bayern Munich,Germany Bundesliga,32,11,22,33
2011,Guillaume Hoarau,Centre-Forward,26,France,Paris SG,France Ligue 1,51,21,11,32
2011,Lucas Barrios,Centre-Forward,25,Paraguay,Bor. Dortmund,Germany Bundesliga,41,21,10,31
2011,Wayne Rooney,Centre-Forward,24,England,Man Utd,England Premier League,40,16,14,30
2011,Didier Drogba,Centre-Forward,32,Cote d'Ivoire,Chelsea,England Premier League,46,13,17,30
2011,Moussa Sow,Centre-Forward,24,Senegal,LOSC Lille,France Ligue 1,51,26,3,29
2011,Roberto Soldado,Centre-Forward,25,Spain,Valencia,Spain LaLiga,44,25,4,29
2011,Kévin Gameiro,Centre-Forward,23,France,FC Lorient,France Ligue 1,41,24,5,29
2011,Robin van Persie,Centre-Forward,26,Netherlands,Arsenal,England Premier League,33,22,7,29
2012,Antonio Valencia,Right-Back,25,Ecuador,Man Utd,England Premier League,38,6,15,21
2012,Óscar de Marcos,Right-Back,22,Spain,Athletic,Spain LaLiga,56,9,11,20
2012,Dani Alves,Right-Back,28,Brazil,Barcelona,Spain LaLiga,51,3,16,19
2012,Kevin Großkreutz,Right-Back,22,Germany,Bor. Dortmund,Germany Bundesliga,43,8,10,18
2012,Jesús Navas,Right-Back,25,Spain,Sevilla FC,Spain LaLiga,43,5,13,18
2012,Christian Fuchs,Left-Back,25,Austria,FC Schalke 04,Germany Bundesliga,44,4,14,18
2012,Ashley Young,Right-Back,25,England,Man Utd,England Premier League,33,8,8,16
2012,Lukasz Piszczek,Right-Back,26,Poland,Bor. Dortmund,Germany Bundesliga,45,4,10,14
2012,Marcelo,Left-Back,23,Brazil,Real Madrid,Spain LaLiga,44,3,10,13
2012,Marcel Schäfer,Left-Back,27,Germany,VfL Wolfsburg,Germany Bundesliga,35,5,7,12
2012,Renato Civelli,Centre-Back,27,Argentina,OGC Nice,France Ligue 1,39,6,5,11
2012,Christian Pander,Left-Back,27,Germany,Hannover 96,Germany Bundesliga,44,4,7,11
2012,Aleksandar Kolarov,Left-Back,25,Serbia,Man City,England Premier League,27,4,7,11
2012,Fabián Monzón,Left-Back,24,Argentina,OGC Nice,France Ligue 1,39,10,0,10
2012,Joel Matip,Centre-Back,19,Cameroon,FC Schalke 04,Germany Bundesliga,47,5,5,10
2012,Sergio Ramos,Centre-Back,25,Spain,Real Madrid,Spain LaLiga,51,4,6,10
2012,Konstantin Rausch,Left-Back,21,Russia,Hannover 96,Germany Bundesliga,49,2,8,10
2012,John Terry,Centre-Back,30,England,Chelsea,England Premier League,44,7,2,9
2012,Dusan Basta,Right-Back,26,Serbia,Udinese,Italy Serie A,39,5,4,9
2012,Fousseni Diawara,Right-Back,30,Mali,AC Ajaccio,France Ligue 1,26,4,5,9
2012,Jordi Alba,Left-Back,22,Spain,Valencia,Spain LaLiga,50,3,6,9
2012,Ryan Taylor,Right-Back,26,England,Newcastle,England Premier League,34,3,6,9
2012,Franck Tabanou,Left-Back,22,France,Toulouse,France Ligue 1,34,3,6,9
2012,Adriano,Left-Back,26,Brazil,Barcelona,Spain LaLiga,39,1,8,9
2012,Ashley Cole,Left-Back,30,England,Chelsea,England Premier League,48,0,9,9
2012,Nenê,Attacking Midfield,29,Brazil,Paris SG,France Ligue 1,47,27,18,45
2012,Marco Reus,Attacking Midfield,22,Germany,Bor. M'gladbach,Germany Bundesliga,37,21,14,35
2012,Cesc Fàbregas,Central Midfield,24,Spain,Barcelona,Spain LaLiga,47,14,20,34
2012,Mesut Özil,Attacking Midfield,22,Germany,Real Madrid,Spain LaLiga,52,7,27,34
2012,Juan Mata,Attacking Midfield,23,Spain,Chelsea,England Premier League,54,12,20,32
2012,Shinji Kagawa,Attacking Midfield,22,Japan,Bor. Dortmund,Germany Bundesliga,43,17,14,31
2012,Julien Féret,Attacking Midfield,28,France,Stade Rennais,France Ligue 1,49,13,16,29
2012,Xavi,Central Midfield,31,Spain,Barcelona,Spain LaLiga,50,13,14,27
2012,David Silva,Attacking Midfield,25,Spain,Man City,England Premier League,49,8,19,27
2012,Frank Lampard,Central Midfield,33,England,Chelsea,England Premier League,49,16,10,26
2012,Toni Kroos,Central Midfield,21,Germany,Bayern Munich,Germany Bundesliga,51,7,19,26
2012,Mathieu Valbuena,Attacking Midfield,26,France,Marseille,France Ligue 1,49,9,16,25
2012,Kaká,Attacking Midfield,29,Brazil,Real Madrid,Spain LaLiga,40,8,16,24
2012,Juan Arango,Left Midfield,31,Venezuela,Bor. M'gladbach,Germany Bundesliga,38,7,17,24
2012,Javier Pastore,Attacking Midfield,22,Argentina,Paris SG,France Ligue 1,43,16,6,22
2012,Rafael van der Vaart,Attacking Midfield,28,Netherlands,Tottenham,England Premier League,39,13,8,21
2012,Marek Hamsik,Central Midfield,23,Slovakia,Napoli,Italy Serie A,50,12,9,21
2012,Andrés Iniesta,Central Midfield,27,Spain,Barcelona,Spain LaLiga,44,8,12,20
2012,Diego,Attacking Midfield,26,Brazil,Atlético Madrid,Spain LaLiga,43,6,14,20
2012,Younès Belhanda,Attacking Midfield,21,Morocco,Montpellier,France Ligue 1,31,13,6,19
2012,Stéphane Sessègnon,Attacking Midfield,27,Benin,Sunderland,England Premier League,42,8,11,19
2012,Marco Rigoni,Central Midfield,31,Italy,Novara,Italy Serie A,36,11,7,18
2012,Raúl García,Attacking Midfield,24,Spain,Multiple clubs,N/A,37,11,7,18
2012,Yaya Touré,Central Midfield,28,Cote d'Ivoire,Man City,England Premier League,42,9,9,18
2012,Michel Bastos,Left Midfield,27,Brazil,Olympique Lyon,France Ligue 1,43,7,11,18
2012,Lionel Messi,Right Winger,24,Argentina,Barcelona,Spain LaLiga,58,71,31,102
2012,Cristiano Ronaldo,Centre-Forward,26,Portugal,Real Madrid,Spain LaLiga,55,60,15,75
2012,Klaas-Jan Huntelaar,Centre-Forward,27,Netherlands,FC Schalke 04,Germany Bundesliga,48,48,14,62
2012,Mario Gómez,Centre-Forward,25,Germany,Bayern Munich,Germany Bundesliga,52,41,7,48
2012,Robin van Persie,Centre-Forward,27,Netherlands,Arsenal,England Premier League,48,37,11,48
2012,Zlatan Ibrahimović,Centre-Forward,29,Sweden,AC Milan,Italy Serie A,44,35,11,46
2012,Karim Benzema,Centre-Forward,23,France,Real Madrid,Spain LaLiga,52,32,14,46
2012,Eden Hazard,Left Winger,20,Belgium,LOSC Lille,France Ligue 1,49,22,22,44
2012,Franck Ribéry,Left Winger,28,France,Bayern Munich,Germany Bundesliga,50,17,27,44
2012,Radamel Falcao,Centre-Forward,25,Colombia,Atlético Madrid,Spain LaLiga,50,36,6,42
2012,Wayne Rooney,Centre-Forward,25,England,Man Utd,England Premier League,43,34,8,42
2012,Robert Lewandowski,Centre-Forward,22,Poland,Bor. Dortmund,Germany Bundesliga,47,30,12,42
2012,Sergio Agüero,Centre-Forward,23,Argentina,Man City,England Premier League,48,30,10,40
2012,Gonzalo Higuaín,Centre-Forward,23,Argentina,Real Madrid,Spain LaLiga,54,26,13,39
2012,Antonio Di Natale,Centre-Forward,33,Italy,Udinese,Italy Serie A,43,29,8,37
2012,Olivier Giroud,Centre-Forward,24,France,Montpellier,France Ligue 1,42,25,12,37
2012,Edinson Cavani,Centre-Forward,24,Uruguay,Napoli,Italy Serie A,48,33,3,36
2012,Fernando Llorente,Centre-Forward,26,Spain,Athletic,Spain LaLiga,53,29,5,34
2012,Roberto Soldado,Centre-Forward,26,Spain,Valencia,Spain LaLiga,51,27,6,33
2012,Raúl,Second Striker,34,Spain,FC Schalke 04,Germany Bundesliga,47,21,11,32
2012,Diego Milito,Centre-Forward,32,Argentina,Inter,Italy Serie A,41,26,5,31
2012,Jonas,Second Striker,27,Brazil,Valencia,Spain LaLiga,54,19,12,31
2012,Thomas Müller,Second Striker,21,Germany,Bayern Munich,Germany Bundesliga,53,11,20,31
2012,Jérémy Ménez,Centre-Forward,24,France,Paris SG,France Ligue 1,42,9,22,31
2012,Clint Dempsey,Second Striker,28,United States,Fulham,England Premier League,46,23,7,30
2013,Philipp Lahm,Right-Back,28,Germany,Bayern Munich,Germany Bundesliga,47,0,19,19
2013,Konstantin Rausch,Left-Back,22,Russia,Hannover 96,Germany Bundesliga,42,4,11,15
2013,Lukasz Piszczek,Right-Back,27,Poland,Bor. Dortmund,Germany Bundesliga,46,2,12,14
2013,Leighton Baines,Left-Back,27,England,Everton,England Premier League,44,7,6,13
2013,Óscar de Marcos,Right-Back,23,Spain,Athletic,Spain LaLiga,46,7,5,12
2013,David Luiz,Centre-Back,25,Brazil,Chelsea,England Premier League,55,7,5,12
2013,Benoît Trémoulinas,Left-Back,26,France,G. Bordeaux,France Ligue 1,45,2,10,12
2013,Branislav Ivanovic,Right-Back,28,Serbia,Chelsea,England Premier League,57,8,3,11
2013,Jan Vertonghen,Centre-Back,25,Belgium,Tottenham,England Premier League,49,7,4,11
2013,Eliseu,Left-Back,28,Portugal,Málaga CF,Spain LaLiga,40,6,5,11
2013,David Alaba,Centre-Back,20,Austria,Bayern Munich,Germany Bundesliga,38,5,6,11
2013,Dani Alves,Right-Back,29,Brazil,Barcelona,Spain LaLiga,47,1,10,11
2013,Jesús Navas,Right-Back,26,Spain,Sevilla FC,Spain LaLiga,44,1,10,11
2013,Gary Medel,Centre-Back,24,Chile,Sevilla FC,Spain LaLiga,39,7,3,10
2013,Jordi Alba,Left-Back,23,Spain,Barcelona,Spain LaLiga,44,5,5,10
2013,Franck Tabanou,Left-Back,23,France,Toulouse,France Ligue 1,37,5,5,10
2013,Christian Maggio,Right-Back,30,Italy,Napoli,Italy Serie A,35,4,6,10
2013,Manuel Pasqual,Left-Back,30,Italy,Fiorentina,Italy Serie A,38,3,7,10
2013,Bastian Oczipka,Left-Back,23,Germany,E. Frankfurt,Germany Bundesliga,34,0,10,10
2013,Gonzalo Rodríguez,Centre-Back,28,Argentina,Fiorentina,Italy Serie A,38,6,3,9
2013,Guilherme Siqueira,Left-Back,26,Brazil,Granada CF,Spain LaLiga,36,6,3,9
2013,Julien Faussurier,Right-Back,25,France,Troyes,France Ligue 1,33,5,4,9
2013,Alessandro Florenzi,Right-Back,21,Italy,AS Roma,Italy Serie A,39,4,5,9
2013,Patrice Evra,Left-Back,31,France,Man Utd,England Premier League,42,4,5,9
2013,Kevin Großkreutz,Right-Back,23,Germany,Bor. Dortmund,Germany Bundesliga,44,2,7,9
2013,Juan Mata,Attacking Midfield,24,Spain,Chelsea,England Premier League,62,19,29,48
2013,Mario Götze,Attacking Midfield,20,Germany,Bor. Dortmund,Germany Bundesliga,44,16,20,36
2013,Marco Reus,Attacking Midfield,23,Germany,Bor. Dortmund,Germany Bundesliga,49,19,16,35
2013,Dimitri Payet,Attacking Midfield,25,France,LOSC Lille,France Ligue 1,52,13,22,35
2013,Mesut Özil,Attacking Midfield,23,Germany,Real Madrid,Spain LaLiga,52,10,25,35
2013,Marek Hamsik,Central Midfield,24,Slovakia,Napoli,Italy Serie A,44,11,20,31
2013,Szabolcs Huszti,Left Midfield,29,Hungary,Hannover 96,Germany Bundesliga,35,14,14,28
2013,Andrés Iniesta,Central Midfield,28,Spain,Barcelona,Spain LaLiga,48,6,22,28
2013,Arturo Vidal,Central Midfield,25,Chile,Juventus,Italy Serie A,45,15,12,27
2013,Cesc Fàbregas,Central Midfield,25,Spain,Barcelona,Spain LaLiga,48,14,13,27
2013,Frank Lampard,Central Midfield,34,England,Chelsea,England Premier League,48,17,8,25
2013,Santi Cazorla,Central Midfield,27,Spain,Arsenal,England Premier League,49,12,13,25
2013,Ivan Rakitic,Central Midfield,24,Croatia,Sevilla FC,Spain LaLiga,42,11,14,25
2013,Juan Arango,Left Midfield,32,Venezuela,Bor. M'gladbach,Germany Bundesliga,41,9,14,23
2013,Hernanes,Attacking Midfield,27,Brazil,Lazio,Italy Serie A,53,14,8,22
2013,Fredy Guarín,Central Midfield,26,Colombia,Inter,Italy Serie A,47,10,12,22
2013,Javier Pastore,Attacking Midfield,23,Argentina,Paris SG,France Ligue 1,48,9,13,22
2013,Diego,Attacking Midfield,27,Brazil,VfL Wolfsburg,Germany Bundesliga,37,13,8,21
2013,Oscar,Attacking Midfield,20,Brazil,Chelsea,England Premier League,62,12,9,21
2013,Steven Gerrard,Central Midfield,32,England,Liverpool,England Premier League,46,11,10,21
2013,Xherdan Shaqiri,Attacking Midfield,20,Switzerland,Bayern Munich,Germany Bundesliga,39,8,13,21
2013,Piti,Attacking Midfield,31,Spain,Rayo Vallecano,Spain LaLiga,35,18,2,20
2013,Julien Féret,Attacking Midfield,29,France,Stade Rennais,France Ligue 1,43,13,7,20
2013,Kevin De Bruyne,Attacking Midfield,21,Belgium,Werder Bremen,Germany Bundesliga,34,10,10,20
2013,Bastian Schweinsteiger,Central Midfield,27,Germany,Bayern Munich,Germany Bundesliga,45,9,11,20
2013,Lionel Messi,Right Winger,25,Argentina,Barcelona,Spain LaLiga,50,60,17,77
2013,Cristiano Ronaldo,Centre-Forward,27,Portugal,Real Madrid,Spain LaLiga,55,55,13,68
2013,Zlatan Ibrahimović,Centre-Forward,30,Sweden,Paris SG,France Ligue 1,46,35,17,52
2013,Robert Lewandowski,Centre-Forward,23,Poland,Bor. Dortmund,Germany Bundesliga,49,36,13,49
2013,Edinson Cavani,Centre-Forward,25,Uruguay,Napoli,Italy Serie A,43,38,4,42
2013,Thomas Müller,Second Striker,22,Germany,Bayern Munich,Germany Bundesliga,47,23,17,40
2013,Karim Benzema,Centre-Forward,24,France,Real Madrid,Spain LaLiga,50,20,20,40
2013,Robin van Persie,Centre-Forward,28,Netherlands,Man Utd,England Premier League,48,30,9,39
2013,Radamel Falcao,Centre-Forward,26,Colombia,Atlético Madrid,Spain LaLiga,41,34,3,37
2013,Luis Suárez,Centre-Forward,25,Uruguay,Liverpool,England Premier League,44,30,7,37
2013,Stefan Kießling,Centre-Forward,28,Germany,B. Leverkusen,Germany Bundesliga,43,27,10,37
2013,Gareth Bale,Right Winger,22,Wales,Tottenham,England Premier League,44,26,10,36
2013,Álvaro Negredo,Centre-Forward,26,Spain,Sevilla FC,Spain LaLiga,42,31,4,35
2013,Roberto Soldado,Centre-Forward,27,Spain,Valencia,Spain LaLiga,46,30,5,35
2013,Theo Walcott,Right Winger,23,England,Arsenal,England Premier League,43,21,14,35
2013,Eden Hazard,Left Winger,21,Belgium,Chelsea,England Premier League,60,13,22,35
2013,Franck Ribéry,Left Winger,29,France,Bayern Munich,Germany Bundesliga,43,11,23,34
2013,Diego Costa,Centre-Forward,23,Spain,Atlético Madrid,Spain LaLiga,44,20,13,33
2013,Antonio Di Natale,Centre-Forward,34,Italy,Udinese,Italy Serie A,42,26,6,32
2013,Pierre-Emerick Aubameyang,Centre-Forward,23,Gabon,Saint-Étienne,France Ligue 1,45,21,11,32
2013,Christian Benteke,Centre-Forward,21,Belgium,Multiple clubs,N/A,42,24,7,31
2013,Rodrigo Palacio,Centre-Forward,30,Argentina,Inter,Italy Serie A,39,22,8,30
2013,Fernando Torres,Centre-Forward,28,Spain,Chelsea,England Premier League,62,21,9,30
2013,Wayne Rooney,Centre-Forward,26,England,Man Utd,England Premier League,37,16,14,30
2013,Vedad Ibisevic,Centre-Forward,27,Bosnia-Herzegovina,VfB Stuttgart,Germany Bundesliga,47,24,5,29
2014,Jesús Navas,Right-Back,27,Spain,Man City,England Premier League,48,6,13,19
2014,Ricardo Rodríguez,Left-Back,20,Switzerland,VfL Wolfsburg,Germany Bundesliga,38,7,10,17
2014,Alessandro Florenzi,Right-Back,22,Italy,AS Roma,Italy Serie A,42,6,8,14
2014,Serge Aurier,Right-Back,20,Cote d'Ivoire,Toulouse,France Ligue 1,38,6,7,13
2014,Aleksandar Kolarov,Left-Back,27,Serbia,Man City,England Premier League,44,4,9,13
2014,Yuto Nagatomo,Left-Back,26,Japan,Inter,Italy Serie A,36,5,7,12
2014,Jonathan,Right-Back,27,Brazil,Inter,Italy Serie A,32,4,8,12
2014,Stephan Lichtsteiner,Right-Back,29,Switzerland,Juventus,Italy Serie A,36,3,9,12
2014,Sebastian Jung,Right-Back,23,Germany,E. Frankfurt,Germany Bundesliga,40,1,11,12
2014,Henri Bedimo,Left-Back,29,Cameroon,Olympique Lyon,France Ligue 1,51,1,11,12
2014,Sergio Ramos,Centre-Back,27,Spain,Real Madrid,Spain LaLiga,51,7,4,11
2014,Pepe,Centre-Back,30,Portugal,Real Madrid,Spain LaLiga,48,5,6,11
2014,David Alaba,Centre-Back,21,Austria,Bayern Munich,Germany Bundesliga,47,4,7,11
2014,Leighton Baines,Left-Back,28,England,Everton,England Premier League,35,6,4,10
2014,Adriano,Left-Back,28,Brazil,Barcelona,Spain LaLiga,38,4,6,10
2014,Marcelo,Left-Back,25,Brazil,Real Madrid,Spain LaLiga,39,2,8,10
2014,Philipp Lahm,Right-Back,29,Germany,Bayern Munich,Germany Bundesliga,46,1,9,10
2014,Séamus Coleman,Right-Back,24,Ireland,Everton,England Premier League,41,7,2,9
2014,Loïc Perrin,Centre-Back,27,France,Saint-Étienne,France Ligue 1,38,7,2,9
2014,Gonzalo Rodríguez,Centre-Back,29,Argentina,Fiorentina,Italy Serie A,48,6,3,9
2014,Antonio Valencia,Right-Back,27,Ecuador,Man Utd,England Premier League,44,4,5,9
2014,Franck Tabanou,Left-Back,24,France,Saint-Étienne,France Ligue 1,39,4,5,9
2014,Kevin Großkreutz,Right-Back,24,Germany,Bor. Dortmund,Germany Bundesliga,50,3,6,9
2014,Rafinha,Right-Back,27,Brazil,Bayern Munich,Germany Bundesliga,44,0,9,9
2014,Juanfran Torres,Right-Back,28,Spain,Atlético Madrid,Spain LaLiga,55,0,9,9
2014,Marco Reus,Attacking Midfield,24,Germany,Bor. Dortmund,Germany Bundesliga,44,23,22,45
2014,Yaya Touré,Central Midfield,30,Cote d'Ivoire,Man City,England Premier League,49,24,12,36
2014,Ivan Rakitic,Central Midfield,25,Croatia,Sevilla FC,Spain LaLiga,52,15,18,33
2014,Neymar,Attacking Midfield,21,Brazil,Barcelona,Spain LaLiga,41,15,15,30
2014,Cesc Fàbregas,Central Midfield,26,Spain,Barcelona,Spain LaLiga,55,13,17,30
2014,Steven Gerrard,Central Midfield,33,England,Liverpool,England Premier League,39,14,14,28
2014,Mario Götze,Attacking Midfield,21,Germany,Bayern Munich,Germany Bundesliga,43,14,13,27
2014,Juan Cuadrado,Right Midfield,25,Colombia,Fiorentina,Italy Serie A,43,15,11,26
2014,Aaron Ramsey,Central Midfield,22,Wales,Arsenal,England Premier League,34,16,9,25
2014,Koke,Central Midfield,21,Spain,Atlético Madrid,Spain LaLiga,58,7,18,25
2014,Arturo Vidal,Central Midfield,26,Chile,Juventus,Italy Serie A,46,18,5,23
2014,Raúl García,Attacking Midfield,26,Spain,Atlético Madrid,Spain LaLiga,53,17,6,23
2014,Henrikh Mkhitaryan,Central Midfield,24,Armenia,Bor. Dortmund,Germany Bundesliga,46,13,10,23
2014,Rémy Cabella,Attacking Midfield,23,France,Montpellier,France Ligue 1,41,14,8,22
2014,Antonio Candreva,Attacking Midfield,26,Italy,Lazio,Italy Serie A,44,12,10,22
2014,Samir Nasri,Attacking Midfield,26,France,Man City,England Premier League,46,11,11,22
2014,Paul Pogba,Central Midfield,20,France,Juventus,Italy Serie A,51,9,13,22
2014,David Silva,Attacking Midfield,27,Spain,Man City,England Premier League,40,8,14,22
2014,Alexandru Maxim,Attacking Midfield,22,Romania,VfB Stuttgart,Germany Bundesliga,34,7,15,22
2014,Christian Eriksen,Central Midfield,21,Denmark,Tottenham,England Premier League,36,10,11,21
2014,Mesut Özil,Attacking Midfield,24,Germany,Multiple clubs,N/A,42,7,14,21
2014,Isco,Attacking Midfield,21,Spain,Real Madrid,Spain LaLiga,53,11,9,20
2014,Szabolcs Huszti,Left Midfield,30,Hungary,Hannover 96,Germany Bundesliga,32,11,8,19
2014,Oscar,Attacking Midfield,21,Brazil,Chelsea,England Premier League,47,11,7,18
2014,Cristiano Ronaldo,Centre-Forward,28,Portugal,Real Madrid,Spain LaLiga,47,51,17,68
2014,Zlatan Ibrahimović,Centre-Forward,31,Sweden,Paris SG,France Ligue 1,46,41,17,58
2014,Lionel Messi,Right Winger,26,Argentina,Barcelona,Spain LaLiga,46,41,14,55
2014,Luis Suárez,Centre-Forward,26,Uruguay,Liverpool,England Premier League,37,31,15,46
2014,Robert Lewandowski,Centre-Forward,24,Poland,Bor. Dortmund,Germany Bundesliga,48,28,13,41
2014,Gareth Bale,Right Winger,23,Wales,Real Madrid,Spain LaLiga,44,22,19,41
2014,Diego Costa,Centre-Forward,24,Spain,Atlético Madrid,Spain LaLiga,52,36,4,40
2014,Thomas Müller,Second Striker,23,Germany,Bayern Munich,Germany Bundesliga,50,26,14,40
2014,Karim Benzema,Centre-Forward,25,France,Real Madrid,Spain LaLiga,52,24,15,39
2014,Wayne Rooney,Centre-Forward,27,England,Man Utd,England Premier League,40,19,20,39
2014,Roberto Firmino,Centre-Forward,21,Brazil,TSG Hoffenheim,Germany Bundesliga,37,22,16,38
2014,Arjen Robben,Right Winger,29,Netherlands,Bayern Munich,Germany Bundesliga,45,21,17,38
2014,Sergio Agüero,Centre-Forward,25,Argentina,Man City,England Premier League,34,28,9,37
2014,Edin Džeko,Centre-Forward,27,Bosnia-Herzegovina,Man City,England Premier League,48,26,11,37
2014,Alexis Sánchez,Centre-Forward,24,Chile,Barcelona,Spain LaLiga,54,21,16,37
2014,Ángel Di María,Right Winger,25,Argentina,Real Madrid,Spain LaLiga,52,11,26,37
2014,Gonzalo Higuaín,Centre-Forward,25,Argentina,Napoli,Italy Serie A,46,24,12,36
2014,Mario Mandžukić,Centre-Forward,27,Croatia,Bayern Munich,Germany Bundesliga,46,25,10,35
2014,Carlos Vela,Right Winger,24,Mexico,Real Sociedad,Spain LaLiga,52,21,13,34
2014,Olivier Giroud,Centre-Forward,26,France,Arsenal,England Premier League,51,22,11,33
2014,Carlos Bacca,Centre-Forward,26,Colombia,Sevilla FC,Spain LaLiga,52,21,12,33
2014,Daniel Sturridge,Centre-Forward,23,England,Liverpool,England Premier League,33,25,7,32
2014,Luca Toni,Centre-Forward,36,Italy,Hellas Verona,Italy Serie A,36,21,11,32
2014,Pedro,Right Winger,25,Spain,Barcelona,Spain LaLiga,54,19,13,32
2015,Leighton Baines,Left-Back,29,England,Everton,England Premier League,37,3,13,16
2015,Ricardo Rodríguez,Left-Back,21,Switzerland,VfL Wolfsburg,Germany Bundesliga,39,10,5,15
2015,Marcelo,Left-Back,26,Brazil,Real Madrid,Spain LaLiga,51,4,10,14
2015,Naldo,Centre-Back,31,Brazil,VfL Wolfsburg,Germany Bundesliga,49,8,5,13
2015,Branislav Ivanovic,Right-Back,30,Serbia,Chelsea,England Premier League,49,6,7,13
2015,Jérémy Pied,Right-Back,25,France,Multiple clubs,N/A,43,4,9,13
2015,Raphaël Guerreiro,Left-Back,20,Portugal,FC Lorient,France Ligue 1,36,7,5,12
2015,Vieirinha,Right-Back,28,Portugal,VfL Wolfsburg,Germany Bundesliga,46,2,10,12
2015,Lucas Vázquez,Right-Back,23,Spain,Espanyol,Spain LaLiga,39,4,7,11
2015,Jesús Navas,Right-Back,28,Spain,Man City,England Premier League,47,1,10,11
2015,Dani Alves,Right-Back,31,Brazil,Barcelona,Spain LaLiga,46,0,11,11
2015,Kamil Glik,Centre-Back,26,Poland,Torino,Italy Serie A,44,8,2,10
2015,John Terry,Centre-Back,33,England,Chelsea,England Premier League,49,8,2,10
2015,Alessandro Florenzi,Right-Back,23,Italy,AS Roma,Italy Serie A,45,5,5,10
2015,Stephan Lichtsteiner,Right-Back,30,Switzerland,Juventus,Italy Serie A,49,3,7,10
2015,Aïssa Mandi,Centre-Back,22,Algeria,Stade Reims,France Ligue 1,33,6,3,9
2015,Matteo Darmian,Right-Back,24,Italy,Torino,Italy Serie A,47,5,4,9
2015,Danilo Avelar,Left-Back,25,Brazil,Cagliari,Italy Serie A,32,4,5,9
2015,Manuel Pasqual,Left-Back,32,Italy,Fiorentina,Italy Serie A,28,3,6,9
2015,Ahmed El Mohamady,Right-Back,26,Egypt,Hull City,England Premier League,43,3,6,9
2015,Jordi Alba,Left-Back,25,Spain,Barcelona,Spain LaLiga,44,2,7,9
