Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1959,Rolf Geiger,Attacking Midfield,23,Germany,VfB Stuttgart,Germany Oberliga Süd,28,16,0,16
1959,Lothar Buchmann,Right Midfield,21,Germany,1.FSV Mainz 05,Germany OL Südwest,24,16,0,16
1959,Horst Schlagowski,Midfielder,20,Germany,RW Oberhausen,Germany Oberliga West,24,16,0,16
1959,Friedel Trapp,Midfielder,26,Germany,TuRa Ludwigsh.,Germany OL Südwest,28,16,0,16
1959,Lucien Muller,Attacking Midfield,23,France,T.F.C.,France Ligue 1,42,16,0,16
1959,Francisco Lojacono,Right Midfield,22,Italy,Fiorentina,Italy Serie A,30,15,1,16
1959,Peter Grosser,Central Midfield,19,Germany,Bayern Munich,Germany Oberliga Süd,24,15,0,15
1959,Kees Rijvers,Attacking Midfield,32,Netherlands,Feijenoord,Netherlands Eredivisie,33,15,0,15
1959,Alfredo di Stéfano,Second Striker,31,Spain,Real Madrid,Spain LaLiga,43,34,13,47
1959,Leo Canjels,Centre-Forward,25,Netherlands,NAC,Netherlands Eredivisie,32,40,0,40
1959,Ferenc Puskás,Centre-Forward,31,Hungary,Real Madrid,Spain LaLiga,34,25,12,37
1959,Just Fontaine,Centre-Forward,24,France,Stade Reims,France Ligue 1,41,36,0,36
1959,Bobby Smith,Centre-Forward,25,England,Tottenham,England First Division (- 91/92),39,35,0,35
1959,Jimmy Greaves,Centre-Forward,18,England,Chelsea,England First Division (- 91/92),44,34,0,34
1959,Nat Lofthouse,Centre-Forward,32,England,Bolton,England First Division (- 91/92),43,34,0,34
1959,Thadée Cisowski,Centre-Forward,31,France,RC Paris,France Ligue 1,31,30,0,30
1959,Ray Pointer,Centre-Forward,21,England,Burnley,England First Division (- 91/92),41,29,1,30
1959,Uwe Seeler,Centre-Forward,21,Germany,Hamburger SV,Germany Oberliga Nord,28,29,0,29
1959,Hassan Akesbi,Centre-Forward,23,Morocco,Nîmes Olympique,France Ligue 1,42,29,0,29
1959,José Altafini,Centre-Forward,19,Italy,Milan,Italy Serie A,33,28,0,28
1959,Gerhard Clement,Striker,19,Germany,Westfalia Herne,Germany Oberliga West,30,28,0,28
1959,Roger Piantoni,Left Winger,26,France,Stade Reims,France Ligue 1,41,28,0,28
1959,Eddie Firmani,Centre-Forward,24,Italy,Inter,Italy Serie A,36,28,0,28
1959,Ernst-Otto Meyer,Centre-Forward,31,Germany,VfR Mannheim,Germany Oberliga Süd,29,27,0,27
1959,Khennane Mahi,Striker,21,Algeria,Stade Rennais UC,France Ligue 1,42,27,0,27
1959,John Dick,Striker,28,Scotland,West Ham,England First Division (- 91/92),42,27,0,27
1959,Kurt Hamrin,Right Winger,23,Sweden,Fiorentina,Italy Serie A,34,26,0,26
1959,Dirk Lammers,Striker,31,Netherlands,DOS,Netherlands Eredivisie,31,26,0,26
1960,Hermann Nuber,Sweeper,23,Germany,K. Offenbach,Germany Oberliga Süd,30,23,0,23
1960,Dieter Lindner,Sweeper,20,Germany,E. Frankfurt,Germany Oberliga Süd,36,20,0,20
1960,Berthold Buchenau,Defender,24,Germany,FSV Frankfurt,Germany Oberliga Süd,28,20,0,20
1960,Helmut Fiebach,Centre-Back,25,Germany,Tasmania Berlin,Germany OL Berlin,30,12,0,12
1960,Norbert Wodarzik,Defender,20,Germany,SSV Reutlingen,Germany Oberliga Süd,23,12,0,12
1960,Theo Laseroms,Centre-Back,19,Netherlands,NAC,Netherlands Eredivisie,16,10,0,10
1960,Heinrich Bauer,Defender,24,Germany,1.FC K'lautern,Germany OL Südwest,26,9,0,9
1960,Sergio Cervato,Left-Back,30,Italy,Juventus,Italy Serie A,37,8,0,8
1960,Gerhard Göhrke,Centre-Back,22,Germany,Altona 93,Germany Oberliga Nord,25,8,0,8
1960,Manfred Paschke,Defender,24,Germany,VfL Osnabrück,Germany Oberliga Nord,22,8,0,8
1960,Rolf Gieseler,Centre-Back,20,Germany,VfB Lübeck,Germany Oberliga Nord,24,8,0,8
1960,Bruno Bollini,Defender,25,France,RC Paris,France Ligue 1,38,8,0,8
1960,Peter Sillett,Right-Back,26,England,Chelsea,England First Division (- 91/92),47,8,0,8
1960,Enric Gensana,Centre-Back,23,Spain,Barcelona,Spain LaLiga,38,7,1,8
1960,Gerhard Cyliax,Centre-Back,24,Germany,Bor. Dortmund,Germany Oberliga West,29,7,0,7
1960,Herbert Krisp,Defender,23,Germany,Alem. Aachen,Germany Oberliga West,25,7,0,7
1960,Joan Segarra,Left-Back,31,Spain,Barcelona,Spain LaLiga,41,7,0,7
1960,Leon Lasa,Defender,26,Spain,Real Betis,Spain LaLiga,31,7,0,7
1960,Wolfgang Schwierzke,Centre-Back,22,Germany,Holstein Kiel,Germany Oberliga Nord,26,7,0,7
1960,Jochen Buchner,Defender,18,Germany,SC Concordia,Germany Oberliga Nord,23,7,0,7
1960,Helmut Kapitulski,Attacking Midfield,24,Germany,FK Pirmasens,Germany OL Südwest,32,26,0,26
1960,Luis Suárez,Central Midfield,24,Spain,Barcelona,Spain LaLiga,37,14,12,26
1960,Peter Broadbent,Attacking Midfield,25,England,Wolves,England First Division (- 91/92),47,19,2,21
1960,Sir Bobby Charlton,Attacking Midfield,21,England,Man Utd,England First Division (- 91/92),38,20,0,20
1960,Helmut Faeder,Attacking Midfield,23,Germany,Hertha BSC,Germany OL Berlin,28,19,0,19
1960,Peter Grosser,Central Midfield,20,Germany,Bayern Munich,Germany Oberliga Süd,27,18,0,18
1960,Félix Marcaida,Midfielder,27,Spain,Athletic,Spain LaLiga,28,18,0,18
1960,Lucien Muller,Attacking Midfield,24,France,Stade Reims,France Ligue 1,44,18,0,18
1960,Günter Steinert,Midfielder,21,N/A,Wacker Berlin,Germany OL Berlin,27,17,0,17
1960,Alfred Pfaff,Attacking Midfield,32,Germany,E. Frankfurt,Germany Oberliga Süd,32,16,1,17
1960,Carol Schuurman,Midfielder,24,Netherlands,ADO,Netherlands Eredivisie,28,15,0,15
1960,Raymond Kopa,Attacking Midfield,27,France,Stade Reims,France Ligue 1,42,15,0,15
1960,Arie de Oude,Midfielder,25,Netherlands,DWS/A,Netherlands Eredivisie,31,15,0,15
1960,Ferenc Puskás,Centre-Forward,32,Hungary,Real Madrid,Spain LaLiga,38,50,11,61
1960,Eulogio Martínez,Centre-Forward,24,Spain,Barcelona,Spain LaLiga,43,34,9,43
1960,Henk Groot,Centre-Forward,21,Netherlands,Ajax,Netherlands Eredivisie,33,38,0,38
1960,Jimmy Murray,Centre-Forward,23,England,Wolves,England First Division (- 91/92),53,34,3,37
1960,Uwe Seeler,Centre-Forward,22,Germany,Hamburger SV,Germany Oberliga Nord,27,36,0,36
1960,Bobby Smith,Centre-Forward,26,England,Tottenham,England First Division (- 91/92),44,30,4,34
1960,Jimmy Greaves,Centre-Forward,19,England,Chelsea,England First Division (- 91/92),45,33,0,33
1960,Dennis Viollet,Centre-Forward,25,England,Man Utd,England First Division (- 91/92),37,32,0,32
1960,Omar Sívori,Second Striker,23,Italy,Juventus,Italy Serie A,35,31,0,31
1960,Thadée Cisowski,Centre-Forward,32,France,RC Paris,France Ligue 1,30,31,0,31
1960,Coen Dillen,Centre-Forward,32,Netherlands,PSV Eindhoven,Netherlands Eredivisie,28,31,0,31
1960,Paco Gento,Left Winger,25,Spain,Real Madrid,Spain LaLiga,39,21,10,31
1960,Heinz Strehl,Centre-Forward,20,Germany,1.FC Nuremberg,Germany Oberliga Süd,28,30,0,30
1960,Just Fontaine,Centre-Forward,25,France,Stade Reims,France Ligue 1,30,30,0,30
1960,Ginès Liron,Striker,24,France,Saint-Étienne,France Ligue 1,40,30,0,30
1960,Erwin Stein,Centre-Forward,24,Germany,E. Frankfurt,Germany Oberliga Süd,30,29,1,30
1960,Pepillo García,Striker,25,Spain,Real Madrid,Spain LaLiga,18,22,8,30
1960,Jürgen Schütz,Centre-Forward,20,Germany,Bor. Dortmund,Germany Oberliga West,29,29,0,29
1960,Kurt Hamrin,Right Winger,24,Sweden,Fiorentina,Italy Serie A,40,29,0,29
1960,Cees Groot,Centre-Forward,27,Netherlands,Ajax,Netherlands Eredivisie,34,29,0,29
1961,Arnold Schütz,Sweeper,25,Germany,Werder Bremen,Germany Oberliga Nord,34,23,0,23
1961,Hermann Nuber,Sweeper,24,Germany,K. Offenbach,Germany Oberliga Süd,30,15,0,15
1961,Horst Wendlandt,Centre-Back,25,Germany,Altona 93,Germany Oberliga Nord,30,12,0,12
1961,Manfred Paschke,Defender,25,Germany,VfL Osnabrück,Germany Oberliga Nord,15,12,0,12
1961,Günter Dunkel,Defender,20,Germany,BFC Südring,Germany OL Berlin,25,12,0,12
1961,Helmut Fiebach,Centre-Back,26,Germany,Tasmania Berlin,Germany OL Berlin,16,11,0,11
1961,Joachim Bäse,Sweeper,20,Germany,E. Braunschweig,Germany Oberliga Nord,25,10,0,10
1961,Rolf Gieseler,Centre-Back,21,Germany,VfB Lübeck,Germany Oberliga Nord,30,10,0,10
1961,Hans-Dieter Burchardt,Defender,20,Germany,VfR Neumünster,Germany Oberliga Nord,28,10,0,10
1961,Karl-Friedrich Eggert,Defender,24,Germany,Wacker Berlin,Germany OL Berlin,16,9,0,9
1961,Johann Sabath,Centre-Back,21,Germany,Hamborn 07,Germany Oberliga West,23,8,0,8
1961,Lothar Schämer,Left-Back,20,Germany,E. Frankfurt,Germany Oberliga Süd,24,8,0,8
1961,Jürgen Moll,Left-Back,20,Germany,E. Braunschweig,Germany Oberliga Nord,24,8,0,8
1961,Hans-Georg Lambert,Defender,20,Germany,Willem II,Netherlands Eredivisie,29,8,0,8
1961,Hans-Dieter Diehl,Defender,18,Germany,Saarbrücken,Germany OL Südwest,28,8,0,8
1961,Berthold Buchenau,Defender,25,Germany,FSV Frankfurt,Germany Oberliga Süd,15,8,0,8
1961,Hans Barwenzik,Defender,26,Germany,RW Oberhausen,Germany Oberliga West,28,8,0,8
1961,Vincent Scanella,Defender,26,France,OGC Nice,France Ligue 1,31,8,0,8
1961,Herbert Schuler,Defender,27,Germany,SV Saar 05,Germany OL Südwest,24,8,0,8
1961,Gerd Peehs,Left-Back,18,Germany,SV Saar 05,Germany OL Südwest,30,7,0,7
1961,Dieter Lindner,Sweeper,21,Germany,E. Frankfurt,Germany Oberliga Süd,20,7,0,7
1961,John White,Attacking Midfield,23,Scotland,Tottenham,England First Division (- 91/92),49,13,16,29
1961,Arie de Oude,Midfielder,26,Netherlands,DWS/A,Netherlands Eredivisie,30,25,0,25
1961,Co Prins,Attacking Midfield,22,Netherlands,Ajax,Netherlands Eredivisie,41,21,4,25
1961,Sir Bobby Charlton,Attacking Midfield,22,England,Man Utd,England First Division (- 91/92),40,21,2,23
1961,Helmut Kapitulski,Attacking Midfield,25,Germany,FK Pirmasens,Germany OL Südwest,30,22,0,22
1961,Hans Schäfer,Attacking Midfield,32,Germany,Multiple clubs,N/A,26,21,0,21
1961,Jimmy McIlroy,Attacking Midfield,28,Northern Ireland,Burnley,England First Division (- 91/92),45,12,9,21
1961,Francisco Lojacono,Right Midfield,24,Italy,AS Roma,Italy Serie A,37,19,0,19
1961,Luis Suárez,Central Midfield,25,Spain,Barcelona,Spain LaLiga,28,15,4,19
1961,Carol Schuurman,Midfielder,25,Netherlands,ADO,Netherlands Eredivisie,25,18,0,18
1961,Luis del Sol,Central Midfield,25,Spain,Real Madrid,Spain LaLiga,40,18,0,18
1961,Friedel Späth,Midfielder,25,Germany,Karlsruher SC,Germany Oberliga Süd,23,18,0,18
1961,Norbert Eschmann,Midfielder,26,Switzerland,Stade Français,France Ligue 1,37,18,0,18
1961,Helmut Mrosla,Midfielder,24,Germany,VfB Oldenburg,Germany Oberliga Nord,28,18,0,18
1961,Gordon Harris,Left Midfield,20,England,Burnley,England First Division (- 91/92),29,14,4,18
1961,Hans Arnold,Attacking Midfield,19,Germany,VfR Mannheim,Germany Oberliga Süd,20,17,0,17
1961,Jean-Jacques Marcel,Right Midfield,29,France,RC Paris,France Ligue 1,42,17,0,17
1961,János Hanek,Midfielder,23,Hungary,DOS,Netherlands Eredivisie,33,17,0,17
1961,Peter Broadbent,Attacking Midfield,26,England,Wolves,England First Division (- 91/92),40,14,3,17
1961,Rolf Geiger,Attacking Midfield,25,Germany,VfB Stuttgart,Germany Oberliga Süd,30,16,0,16
1961,Henk Groot,Centre-Forward,22,Netherlands,Ajax,Netherlands Eredivisie,41,53,2,55
1961,Jimmy Greaves,Centre-Forward,20,England,Chelsea,England First Division (- 91/92),43,43,3,46
1961,Ferenc Puskás,Centre-Forward,33,Hungary,Real Madrid,Spain LaLiga,39,42,4,46
1961,Jimmy Robson,Second Striker,21,England,Burnley,England First Division (- 91/92),51,37,6,43
1961,Bobby Smith,Centre-Forward,27,England,Tottenham,England First Division (- 91/92),43,33,9,42
1961,Les Allen,Second Striker,22,England,Tottenham,England First Division (- 91/92),49,27,11,38
1961,Ray Pointer,Centre-Forward,23,England,Burnley,England First Division (- 91/92),51,25,10,35
1961,Uwe Seeler,Centre-Forward,23,Germany,Hamburger SV,Germany Oberliga Nord,30,34,0,34
1961,Pedro Manfredini,Centre-Forward,24,Argentina,AS Roma,Italy Serie A,42,34,0,34
1961,Roger Piantoni,Left Winger,28,France,Stade Reims,France Ligue 1,43,34,0,34
1961,Gerry Hitchens,Centre-Forward,25,England,Aston Villa,England First Division (- 91/92),45,32,2,34
1961,Alfredo di Stéfano,Second Striker,33,Spain,Real Madrid,Spain LaLiga,34,29,2,31
1961,David Herd,Centre-Forward,26,Scotland,Arsenal,England First Division (- 91/92),41,30,0,30
1961,Sergio Brighenti,Centre-Forward,27,Italy,Sampdoria,Italy Serie A,34,29,0,29
1961,Len White,Centre-Forward,30,England,Newcastle,England First Division (- 91/92),38,29,0,29
1961,Ted Farmer,Centre-Forward,20,England,Wolves,England First Division (- 91/92),30,28,1,29
1961,Omar Sívori,Second Striker,24,Italy,Juventus,Italy Serie A,29,28,0,28
1961,Cor van der Gijp,Striker,28,Netherlands,Feijenoord,Netherlands Eredivisie,32,28,0,28
1961,Cliff Jones,Left Winger,25,Wales,Tottenham,England First Division (- 91/92),35,19,9,28
1962,Lothar Schämer,Left-Back,21,Germany,E. Frankfurt,Germany Oberliga Süd,32,27,2,29
1962,Jürgen Moll,Left-Back,21,Germany,E. Braunschweig,Germany Oberliga Nord,31,26,0,26
