,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
43,Julio César Enciso,19,PAR,Brighton,Att Mid / Winger,875,92,95,99,98,76,97,90,15,23,37,82,99,84,56,53,47,45,14,69,66.89473684210526
44,Ben Chilwell,26,ENG,Chelsea,Fullback,2078,58,84,85,51,94,93,88,78,54,18,76,54,90,90,18,45,49,11,81,64.05263157894737
45,Ryan Christie,28,SCO,Bournemouth,Att Mid / Winger,1802,4,15,20,5,31,13,36,34,80,50,12,51,31,2,63,99,46,95,82,40.473684210526315
46,Carney Chukwuemeka,19,ENG,Chelsea,Att Mid / Winger,479,46,4,4,2,31,5,54,85,99,82,82,32,82,20,98,97,78,8,12,48.473684210526315
47,Nathan Collins,22,IRL,Brentford,Center Back,1612,20,14,18,82,66,30,32,54,62,18,38,76,77,76,54,20,93,76,52,50.421052631578945
48,Levi Colwill,20,ENG,Chelsea,Center Back,1646,20,98,84,97,82,98,97,97,66,81,86,57,81,84,5,24,3,9,85,66.0
49,Lewis Cook,26,ENG,Bournemouth,Midfielder,1472,14,10,12,38,81,53,48,27,30,29,7,20,28,9,34,79,45,84,23,35.31578947368421
50,Vladimír Coufal,31,CZE,West Ham,Fullback,1990,19,6,7,53,67,46,54,25,3,26,57,3,24,49,87,86,42,98,93,44.473684210526315
51,Philippe Coutinho,31,BRA,Aston Villa,Att Mid / Winger,464,46,51,84,2,2,11,20,70,32,92,53,80,31,53,99,43,80,11,1,45.31578947368421
52,Matheus Cunha,24,BRA,Wolves,Forward,1765,7,24,55,44,46,24,68,49,79,44,78,97,39,16,79,99,94,52,13,53.0
53,Diogo Dalot,24,POR,Manchester Utd,Fullback,2510,75,83,63,24,42,61,65,76,81,70,47,71,60,36,79,91,30,57,81,62.73684210526316
54,Mikkel Damsgaard,23,DEN,Brentford,Midfielder,970,14,95,60,11,60,86,28,17,2,33,27,43,85,80,85,33,98,66,50,51.21052631578947
55,Danilo,22,BRA,Nott'ham Forest,Midfielder,1259,93,77,71,73,32,56,29,1,2,8,42,78,66,54,22,56,98,80,34,51.1578947368421
56,Arnaut Danjuma,26,NED,Everton,Forward,968,36,59,72,4,10,46,42,40,68,6,93,52,32,74,43,60,2,4,2,39.21052631578947
57,Josh Dasilva,24,ENG,Brentford,Midfielder,1027,87,75,68,83,70,71,59,22,27,27,99,98,78,91,6,4,83,11,3,55.89473684210526
58,Ben Davies,30,WAL,Tottenham,Center Back,2157,88,66,74,75,99,96,94,40,24,75,93,76,82,99,23,14,5,10,73,63.473684210526315
59,Craig Dawson,33,ENG,Wolves,Center Back,2564,53,72,86,28,19,52,40,44,39,34,8,39,91,37,13,10,90,63,56,46.0
60,Kevin De Bruyne,32,BEL,Manchester City,Midfielder,2450,98,87,95,99,99,99,99,70,8,94,97,79,98,99,4,3,9,10,14,66.36842105263158
61,Leander Dendoncker,28,BEL,Aston Villa,Midfielder,674,14,4,3,11,39,13,4,22,88,4,1,23,42,1,78,65,99,81,71,34.89473684210526
62,Moussa Diaby,24,FRA,Aston Villa,Att Mid / Winger,3372,90,93,84,88,74,90,29,32,47,45,74,55,67,53,1,6,2,3,1,49.1578947368421
63,Rúben Dias,26,POR,Manchester City,Center Back,2816,20,82,82,28,39,74,62,99,98,78,75,51,71,62,59,10,27,5,27,55.21052631578947
